rank,id,score
1,6661,25003.29163923634
2,8517,25003.29163923634
3,5859,11908.053543998247
4,1290,11886.408522353224
5,3625,11866.645676503422
6,8892,11866.645676503422
7,0708,11848.529734474436
8,6832,11802.23343817814
9,3957,11734.893370838074
10,6152,4893.3532632152255
11,5837,4354.63367307322
12,5993,4177.411324890873
13,9557,1735.546091587818
14,1028,1696.743039791132
15,3951,1661.0348549265088
16,4056,1635.163159412667
17,8355,1623.6618913301306
18,0808,1610.3856241502285
19,1112,1574.3384893419209
20,9586,1563.8924580580274
21,5239,1562.5707843072453
22,9020,1047.5025117480923
23,7872,1045.2364197606223
24,1306,1044.5690298288534
25,8527,1039.8797871902088
26,6284,1039.115664639556
27,7997,1035.0053317710683
28,5476,1031.9508807001378
29,9866,1030.8557557735294
30,6587,1030.1676182085484
31,4064,1028.5056164785558
32,6609,1028.4056055544936
33,7493,1025.7439634392292
34,2835,1023.0408676701481
35,2489,1022.468602567756
36,4087,1020.3674071661368
37,7196,1019.0878997134513
38,4158,1016.5237313177311
39,8873,1014.6465833675098
40,7323,1013.4923998047068
41,1108,855.4983545655643
42,7955,855.0862461946881
43,0224,854.3723351810047
44,6126,853.4507036889433
45,2889,852.6129453633746
46,1727,851.6370206002682
47,0583,848.0505721884066
48,4237,846.0210809629555
49,1796,843.8914888393674
50,9024,843.7381056920797
51,1823,842.7518848606405
52,1257,842.3192760666834
53,8067,842.0709544951967
54,2505,841.8207706162076
55,7665,841.6819187109397
56,4047,841.6587150250989
57,7073,840.3738720347405
58,3535,839.9119157232519
59,9038,839.6754953286722
60,9364,838.8572568483871
61,8743,837.8296425450322
62,2930,837.5149985832725
63,0575,835.8189159860602
64,6577,835.7936002513818
65,3226,827.4091915971196
66,4888,824.0933617254652
67,9950,820.9246207829334
68,2256,819.7277566151614
69,5294,817.2791408983528
70,0967,486.89973770921364
71,4279,486.24216961766393
72,9632,485.67103324464983
73,0963,484.1486150829696
74,9665,484.03355750364796
75,2640,483.8627644625517
76,5027,482.7233080158327
77,9783,482.134043004416
78,6745,480.60621996627935
79,5304,480.5582289091464
80,3571,480.32316374392826
81,7347,480.3199248816095
82,8385,479.86543982682736
83,7776,477.65387345656853
84,6207,477.3648422321967
85,1625,477.2754731363864
86,4925,477.1423420526381
87,3098,476.8870549334169
88,6010,476.78400245294233
89,4987,476.3555203198501
90,7876,476.26150911499144
91,3715,476.09765538562635
92,4949,474.71318304014494
93,8228,474.4233108499837
94,5955,474.26562972387103
95,4775,472.6156234565084
96,6907,471.61790614052944
97,7990,471.4520640765838
98,1787,471.0991305717291
99,5285,470.84664327328886
100,3537,470.84416414530284
101,5902,470.2488300121485
102,5080,469.97677226966266
103,6029,469.11962139761715
104,7278,468.9501100167539
105,6260,468.87338400110633
106,8239,468.6752175436168
107,5413,468.61577158599715
108,8706,468.33752632834614
109,3420,468.247187911646
110,9875,467.39308269296066
111,0516,467.037448970469
112,8519,466.73147626654435
113,9859,466.67552459835343
114,5722,466.30103534658247
115,4381,466.17131044071476
116,8999,465.79537068644356
117,2609,465.7297053941635
118,6964,464.6643493512682
119,2046,463.33709257536304
120,9175,462.6825428628674
121,7462,461.93154233723146
122,3903,460.662957403689
123,8068,459.99056983067027
124,2633,459.8058305341003
125,2937,458.9834842290217
126,8906,458.5053409803954
127,6718,458.1973276532485
128,5039,457.34618594032435
129,0637,457.34181045028026
130,3375,457.2555887269014
131,4742,456.5208514706475
132,5671,456.41486213081976
133,8080,456.41486213081976
134,2284,455.8215431546233
135,3395,450.3580186710526
136,6641,450.0350819429679
137,1809,449.19827483096583
138,0672,448.713922267886
139,8947,448.5809831055418
140,7331,448.1091055316189
141,4218,448.05854198258174
142,6476,448.05536841172926
143,1391,443.35199736205976
144,4555,441.5397081819745
145,4609,440.3642443383198
146,9375,438.47673244106227
147,0718,430.7417839045299
148,1320,427.5907941648234
149,2008,427.23981165226996
150,0178,417.7927037806487
151,3769,417.5662211478189
152,0388,417.22523174393973
153,3018,417.16473320169644
154,4747,413.7166941938236
155,9551,413.7057064447102
156,1116,413.6016362349939
157,5587,413.3529313612934
158,2026,412.99043459881636
159,8540,412.7556194605075
160,0855,412.44740613488784
161,3670,412.05318243846597
162,8875,411.84012536825173
163,7622,410.54775011319043
164,0539,410.1109343779675
165,8647,408.2843347598232
166,6184,407.61622600142834
167,8059,407.08799867777975
168,5504,406.89866790682106
169,9864,405.801846127478
170,7320,403.79871450992573
171,3341,403.31948231915027
172,0573,402.90197853466947
173,1126,401.4890524733428
174,0385,399.72509067940166
175,2812,399.1559924592776
176,1006,398.781593780217
177,7681,398.0762143736877
178,8560,395.5369563722139
179,8778,395.0319319853085
180,8219,394.97777999611947
181,9630,394.92567781370224
182,2623,394.8409446065414
183,9258,394.0931026551135
184,9052,394.0717912142351
185,3556,393.78508932796666
186,8653,393.6012114109889
187,5019,393.5758956763105
188,3987,393.09409415735087
